Name,Contact,v1,v2,email,v3,address,city
Murtaza Hassan

,+ (00) 123-45-67

,1,0,contact@murtazahussan.com

,5634853

,Dark Side of the Moon

,Mars

,
Sarah

,+ (00) 765-43-21

,1,0,sarah@abc.com

,1356856

,London

,United Kingdom

,
Jhon Williams

,+ (00) 321-54-76

,1,1,jhon@abc.com

,6324625

,New Ywrk

,USA

,
Murtaza Hassan

,+ (00) 123-45-67

,1,0,contact@murtazahussan.com

,5634853

,Dark Side of the Moon

,Mars

,
Sarah

,+ (00) 765-43-21

,1,0,sarah@abc.com

,1356856

,London

,United Kingdom

,
Jhon Williams

,+ (00) 321-54-76

,1,1,jhon@abc.com

,6324625

,New Ywrk

,USA

,
